Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,XAM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,XEU,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,XAF,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,XAS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,AFG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,AGO,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ALB,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ARE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ARG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ARM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,AUS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,AUT,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,AZE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BDI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BEL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BEN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BFA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BGD,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BGR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BHR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BHS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BIH,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BLR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BLZ,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BOL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BRA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BRN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BTN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,BWA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CAF,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CAN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CHE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CHL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CHN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CIV,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CMR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,COD,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,COG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,COL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CRI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CUB,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CYP,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,CZE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DEU,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DJI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DYE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DNK,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DOM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,DZA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ECU,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,EGY,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ERI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ESP,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,EST,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,ETH,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,FIN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,FRA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GAB,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GBR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GEO,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GHA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GIN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GMB,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GNQ,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GRC,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,GTM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,HND,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,HKG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,HRV,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,HTI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,HUN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.6,SUT,2017,Intensity,GHG,kilotonnes/current 000 US$,IDN,Commodity,"Electric power generation, transmission and distribution",0.0
